path,duration,emotion,dataset
D:/Data/RAVDESS/Actor_01\03-01-04-01-02-02-01.wav,3.37,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-04-02-01-01-01.wav,3.804,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-04-02-01-02-01.wav,3.704,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-04-02-02-01-01.wav,3.737,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-04-02-02-02-01.wav,3.737,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-05-01-01-01-01.wav,3.871,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-05-01-01-02-01.wav,3.937,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-05-01-02-01-01.wav,3.503,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-05-01-02-02-01.wav,3.737,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-05-02-01-01-01.wav,4.104,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-05-02-01-02-01.wav,4.371,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-05-02-02-01-01.wav,4.137,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-05-02-02-02-01.wav,4.438,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-06-01-01-01-01.wav,3.67,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-06-01-01-02-01.wav,3.637,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-06-01-02-01-01.wav,3.437,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-06-01-02-02-01.wav,3.704,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-06-02-01-01-01.wav,5.005,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-06-02-01-02-01.wav,4.238,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-06-02-02-01-01.wav,3.971,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-06-02-02-02-01.wav,3.904,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-07-01-01-01-01.wav,3.871,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-07-01-01-02-01.wav,3.904,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-07-01-02-01-01.wav,3.904,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-07-01-02-02-01.wav,3.837,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-07-02-01-01-01.wav,4.304,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-07-02-01-02-01.wav,4.104,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-07-02-02-01-01.wav,4.037,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-07-02-02-02-01.wav,4.371,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-08-01-01-01-01.wav,3.403,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-08-01-01-02-01.wav,3.27,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-08-01-02-01-01.wav,3.537,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-08-01-02-02-01.wav,3.27,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-08-02-01-01-01.wav,3.437,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-08-02-01-02-01.wav,3.57,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-08-02-02-01-01.wav,3.503,angry,RAVDESS
D:/Data/RAVDESS/Actor_01\03-01-08-02-02-02-01.wav,3.27,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-01-01-01-01-02.wav,3.637,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-01-01-01-02-02.wav,3.604,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-01-01-02-01-02.wav,3.77,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-01-01-02-02-02.wav,3.604,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-02-01-01-01-02.wav,3.837,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-02-01-01-02-02.wav,4.004,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-02-01-02-01-02.wav,3.837,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-02-01-02-02-02.wav,3.971,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-02-02-01-01-02.wav,4.137,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-02-02-01-02-02.wav,4.037,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-02-02-02-01-02.wav,4.104,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-02-02-02-02-02.wav,4.104,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-03-01-01-01-02.wav,3.604,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-03-01-01-02-02.wav,3.704,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-03-01-02-01-02.wav,3.77,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-03-01-02-02-02.wav,3.737,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-03-02-01-01-02.wav,3.704,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-03-02-01-02-02.wav,3.67,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-03-02-02-01-02.wav,3.704,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-03-02-02-02-02.wav,3.871,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-04-01-01-01-02.wav,3.837,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-04-01-01-02-02.wav,3.77,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-04-01-02-01-02.wav,3.737,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-04-01-02-02-02.wav,3.77,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-04-02-01-01-02.wav,3.737,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-04-02-01-02-02.wav,3.77,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-04-02-02-01-02.wav,3.704,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-04-02-02-02-02.wav,3.67,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-05-01-01-01-02.wav,3.67,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-05-01-01-02-02.wav,3.67,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-05-01-02-01-02.wav,3.77,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-05-01-02-02-02.wav,3.804,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-05-02-01-01-02.wav,3.904,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-05-02-01-02-02.wav,4.004,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-05-02-02-01-02.wav,4.004,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-05-02-02-02-02.wav,4.004,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-06-01-01-01-02.wav,3.637,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-06-01-01-02-02.wav,3.737,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-06-01-02-01-02.wav,3.67,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-06-01-02-02-02.wav,3.737,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-06-02-01-01-02.wav,3.804,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-06-02-01-02-02.wav,3.637,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-06-02-02-01-02.wav,3.604,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-06-02-02-02-02.wav,3.604,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-07-01-01-01-02.wav,3.67,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-07-01-01-02-02.wav,3.637,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-07-01-02-01-02.wav,3.871,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-07-01-02-02-02.wav,3.837,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-07-02-01-01-02.wav,4.137,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-07-02-01-02-02.wav,4.137,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-07-02-02-01-02.wav,4.004,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-07-02-02-02-02.wav,4.037,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-08-01-01-01-02.wav,3.537,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-08-01-01-02-02.wav,3.537,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-08-01-02-01-02.wav,3.604,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-08-01-02-02-02.wav,3.537,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-08-02-01-01-02.wav,3.737,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-08-02-01-02-02.wav,3.77,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-08-02-02-01-02.wav,3.737,angry,RAVDESS
D:/Data/RAVDESS/Actor_02\03-01-08-02-02-02-02.wav,3.804,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-01-01-01-01-03.wav,3.437,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-01-01-01-02-03.wav,3.503,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-01-01-02-01-03.wav,3.503,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-01-01-02-02-03.wav,3.47,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-02-01-01-01-03.wav,3.837,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-02-01-01-02-03.wav,3.737,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-02-01-02-01-03.wav,3.837,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-02-01-02-02-03.wav,3.971,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-02-02-01-01-03.wav,4.037,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-02-02-01-02-03.wav,3.971,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-02-02-02-01-03.wav,4.137,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-02-02-02-02-03.wav,4.004,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-03-01-01-01-03.wav,3.77,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-03-01-01-02-03.wav,3.604,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-03-01-02-01-03.wav,3.503,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-03-01-02-02-03.wav,3.503,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-03-02-01-01-03.wav,4.304,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-03-02-01-02-03.wav,4.404,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-03-02-02-01-03.wav,4.137,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-03-02-02-02-03.wav,3.837,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-04-01-01-01-03.wav,3.604,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-04-01-01-02-03.wav,3.57,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-04-01-02-01-03.wav,3.57,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-04-01-02-02-03.wav,3.537,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-04-02-01-01-03.wav,3.77,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-04-02-01-02-03.wav,3.837,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-04-02-02-01-03.wav,3.47,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-04-02-02-02-03.wav,3.704,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-05-01-01-01-03.wav,4.004,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-05-01-01-02-03.wav,4.071,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-05-01-02-01-03.wav,3.804,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-05-01-02-02-03.wav,3.837,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-05-02-01-01-03.wav,4.404,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-05-02-01-02-03.wav,4.404,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-05-02-02-01-03.wav,4.238,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-05-02-02-02-03.wav,4.505,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-06-01-01-01-03.wav,3.737,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-06-01-01-02-03.wav,3.837,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-06-01-02-01-03.wav,3.503,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-06-01-02-02-03.wav,3.203,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-06-02-01-01-03.wav,3.303,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-06-02-01-02-03.wav,3.904,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-06-02-02-01-03.wav,3.303,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-06-02-02-02-03.wav,3.437,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-07-01-01-01-03.wav,4.037,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-07-01-01-02-03.wav,3.971,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-07-01-02-01-03.wav,3.604,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-07-01-02-02-03.wav,3.77,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-07-02-01-01-03.wav,4.104,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-07-02-01-02-03.wav,4.104,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-07-02-02-01-03.wav,3.837,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-07-02-02-02-03.wav,3.937,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-08-01-01-01-03.wav,3.237,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-08-01-01-02-03.wav,3.37,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-08-01-02-01-03.wav,3.203,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-08-01-02-02-03.wav,3.57,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-08-02-01-01-03.wav,3.27,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-08-02-01-02-03.wav,3.604,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-08-02-02-01-03.wav,3.503,angry,RAVDESS
D:/Data/RAVDESS/Actor_03\03-01-08-02-02-02-03.wav,3.237,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-01-01-01-01-04.wav,3.303,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-01-01-01-02-04.wav,3.37,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-01-01-02-01-04.wav,3.27,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-01-01-02-02-04.wav,3.237,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-02-01-01-01-04.wav,3.804,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-02-01-01-02-04.wav,3.737,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-02-01-02-01-04.wav,3.637,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-02-01-02-02-04.wav,3.57,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-02-02-01-01-04.wav,3.971,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-02-02-01-02-04.wav,3.804,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-02-02-02-01-04.wav,3.804,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-02-02-02-02-04.wav,4.037,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-03-01-01-01-04.wav,3.503,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-03-01-01-02-04.wav,3.537,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-03-01-02-01-04.wav,3.503,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-03-01-02-02-04.wav,3.437,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-03-02-01-01-04.wav,3.871,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-03-02-01-02-04.wav,3.57,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-03-02-02-01-04.wav,3.604,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-03-02-02-02-04.wav,3.77,angry,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-04-01-01-01-04.wav,3.37,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-04-01-01-02-04.wav,3.403,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-04-01-02-01-04.wav,3.437,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-04-01-02-02-04.wav,3.47,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-04-02-01-01-04.wav,3.67,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-04-02-01-02-04.wav,3.77,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-04-02-02-01-04.wav,3.77,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-04-02-02-02-04.wav,3.77,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-05-01-01-01-04.wav,3.704,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-05-01-01-02-04.wav,3.604,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-05-01-02-01-04.wav,3.47,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-05-01-02-02-04.wav,3.737,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-05-02-01-01-04.wav,3.77,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-05-02-01-02-04.wav,3.871,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-05-02-02-01-04.wav,3.704,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-05-02-02-02-04.wav,3.837,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-06-01-01-01-04.wav,3.303,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-06-01-01-02-04.wav,3.237,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-06-01-02-01-04.wav,3.47,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-06-01-02-02-04.wav,3.47,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-06-02-01-01-04.wav,3.937,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-06-02-01-02-04.wav,3.403,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-06-02-02-01-04.wav,3.604,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-06-02-02-02-04.wav,3.57,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-07-01-01-01-04.wav,3.904,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-07-01-01-02-04.wav,3.904,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-07-01-02-01-04.wav,3.77,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-07-01-02-02-04.wav,3.804,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-07-02-01-01-04.wav,4.004,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-07-02-01-02-04.wav,4.037,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-07-02-02-01-04.wav,3.871,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-07-02-02-02-04.wav,3.937,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-08-01-01-01-04.wav,3.237,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-08-01-01-02-04.wav,3.337,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-08-01-02-01-04.wav,3.637,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-08-01-02-02-04.wav,3.437,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-08-02-01-01-04.wav,3.67,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-08-02-01-02-04.wav,3.57,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-08-02-02-01-04.wav,3.47,disgust,RAVDESS
D:/Data/RAVDESS/Actor_04\03-01-08-02-02-02-04.wav,3.537,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-01-01-01-01-05.wav,3.604,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-01-01-01-02-05.wav,3.637,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-01-01-02-01-05.wav,3.103,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-01-01-02-02-05.wav,3.604,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-02-01-01-01-05.wav,4.037,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-02-01-01-02-05.wav,4.104,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-02-01-02-01-05.wav,4.137,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-02-01-02-02-05.wav,4.238,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-02-02-01-01-05.wav,4.738,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-02-02-01-02-05.wav,4.505,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-02-02-02-01-05.wav,4.771,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-02-02-02-02-05.wav,4.304,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-03-01-01-01-05.wav,4.004,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-03-01-01-02-05.wav,3.237,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-03-01-02-01-05.wav,3.37,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-03-01-02-02-05.wav,3.77,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-03-02-01-01-05.wav,4.137,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-03-02-01-02-05.wav,3.871,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-03-02-02-01-05.wav,3.604,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-03-02-02-02-05.wav,3.403,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-04-01-01-01-05.wav,3.27,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-04-01-01-02-05.wav,3.637,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-04-01-02-01-05.wav,3.103,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-04-01-02-02-05.wav,3.704,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-04-02-01-01-05.wav,3.537,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-04-02-01-02-05.wav,3.27,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-04-02-02-01-05.wav,3.27,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-04-02-02-02-05.wav,3.136,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-05-01-01-01-05.wav,3.871,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-05-01-01-02-05.wav,3.804,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-05-01-02-01-05.wav,4.071,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-05-01-02-02-05.wav,4.404,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-05-02-01-01-05.wav,3.403,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-05-02-01-02-05.wav,3.57,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-05-02-02-01-05.wav,3.637,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-05-02-02-02-05.wav,3.637,disgust,RAVDESS
D:/Data/RAVDESS/Actor_05\03-01-06-01-01-01-05.wav,3.136,disgust,RAVDESS
