path,duration,emotion,dataset
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_dead_angry.wav,1.483,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_death_angry.wav,1.646,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_deep_angry.wav,1.612,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_dime_angry.wav,1.675,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_dip_angry.wav,1.433,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_ditch_angry.wav,1.546,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_dodge_angry.wav,1.646,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_dog_angry.wav,1.69,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_doll_angry.wav,1.633,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_door_angry.wav,1.54,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_fail_angry.wav,1.553,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_fall_angry.wav,1.427,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_far_angry.wav,1.509,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_fat_angry.wav,1.564,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_fit_angry.wav,1.602,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_five_angry.wav,1.592,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_food_angry.wav,1.534,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_gap_angry.wav,1.592,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_gas_angry.wav,1.649,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_gaze_angry.wav,1.69,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_germ_angry.wav,1.482,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_get_angry.wav,1.645,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_gin_angry.wav,1.575,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_goal_angry.wav,1.52,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_good_angry.wav,1.495,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_goose_angry.wav,1.531,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_gun_angry.wav,1.541,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_half_angry.wav,1.696,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_hall_angry.wav,1.503,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_hash_angry.wav,1.696,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_hate_angry.wav,1.484,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_have_angry.wav,1.653,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_haze_angry.wav,1.562,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_hire_angry.wav,1.507,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_hit_angry.wav,1.357,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_hole_angry.wav,1.67,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_home_angry.wav,1.445,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_hurl_angry.wav,1.602,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_hush_angry.wav,1.547,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_jail_angry.wav,1.473,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_jar_angry.wav,1.558,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_join_angry.wav,1.613,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_judge_angry.wav,1.726,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_jug_angry.wav,1.55,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_juice_angry.wav,1.601,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_keen_angry.wav,1.713,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_keep_angry.wav,1.555,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_keg_angry.wav,1.44,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_kick_angry.wav,1.651,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_kill_angry.wav,1.5,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_king_angry.wav,1.663,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_kite_angry.wav,1.492,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_knock_angry.wav,1.805,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_late_angry.wav,1.673,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_laud_angry.wav,1.658,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_lean_angry.wav,1.623,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_learn_angry.wav,1.516,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_lease_angry.wav,1.681,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_lid_angry.wav,1.414,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_life_angry.wav,1.625,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_limb_angry.wav,1.621,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_live_angry.wav,1.597,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_loaf_angry.wav,1.68,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_long_angry.wav,1.724,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_lore_angry.wav,1.702,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_lose_angry.wav,1.675,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_lot_angry.wav,1.613,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_love_angry.wav,1.562,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_luck_angry.wav,1.613,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_make_angry.wav,1.633,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_match_angry.wav,1.685,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_merge_angry.wav,1.624,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_mess_angry.wav,1.695,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_met_angry.wav,1.509,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_mill_angry.wav,1.535,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_mob_angry.wav,1.531,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_mode_angry.wav,1.475,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_mood_angry.wav,1.565,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_moon_angry.wav,1.507,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_mop_angry.wav,1.39,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_mouse_angry.wav,1.649,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_nag_angry.wav,1.46,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_name_angry.wav,1.543,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_near_angry.wav,1.52,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_neat_angry.wav,1.677,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_nice_angry.wav,1.623,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_note_angry.wav,1.427,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_numb_angry.wav,1.576,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_pad_angry.wav,1.548,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_page_angry.wav,1.506,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_pain_angry.wav,1.546,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_pass_angry.wav,1.629,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_pearl_angry.wav,1.495,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_peg_angry.wav,1.577,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_perch_angry.wav,1.68,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_phone_angry.wav,1.576,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_pick_angry.wav,1.613,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_pike_angry.wav,1.612,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_pole_angry.wav,1.577,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_pool_angry.wav,1.377,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_puff_angry.wav,1.482,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_rag_angry.wav,1.604,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_raid_angry.wav,1.568,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_rain_angry.wav,1.505,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_raise_angry.wav,1.631,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_rat_angry.wav,1.536,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_reach_angry.wav,1.609,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_read_angry.wav,1.527,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_red_angry.wav,1.69,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_ring_angry.wav,1.529,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_ripe_angry.wav,1.738,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_road_angry.wav,1.568,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_room_angry.wav,1.54,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_rose_angry.wav,1.86,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_rot_angry.wav,1.372,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_rough_angry.wav,1.721,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_rush_angry.wav,1.653,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_said_angry.wav,1.467,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_sail_angry.wav,1.668,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_search_angry.wav,1.696,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_seize_angry.wav,1.759,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_sell_angry.wav,1.415,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_shack_angry.wav,1.49,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_shall_angry.wav,1.679,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_shawl_angry.wav,1.527,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_sheep_angry.wav,1.675,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_shirt_angry.wav,1.658,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_should_angry.wav,1.6,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_shout_angry.wav,1.398,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_size_angry.wav,1.586,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_soap_angry.wav,1.696,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_soup_angry.wav,1.593,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_sour_angry.wav,1.739,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_south_angry.wav,1.518,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_sub_angry.wav,1.375,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_such_angry.wav,1.672,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_sure_angry.wav,1.428,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_take_angry.wav,1.46,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_talk_angry.wav,1.521,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_tape_angry.wav,1.684,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_team_angry.wav,1.607,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_tell_angry.wav,1.631,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_thin_angry.wav,1.565,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_third_angry.wav,1.378,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_thought_angry.wav,1.507,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_thumb_angry.wav,1.593,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_time_angry.wav,1.631,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_tip_angry.wav,1.335,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_tire_angry.wav,1.654,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_ton_angry.wav,1.498,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_tool_angry.wav,1.509,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_tough_angry.wav,1.466,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_turn_angry.wav,1.501,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_vine_angry.wav,1.49,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_voice_angry.wav,1.589,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_void_angry.wav,1.544,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_vote_angry.wav,1.547,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_wag_angry.wav,1.576,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_walk_angry.wav,1.586,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_wash_angry.wav,1.802,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_week_angry.wav,1.56,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_wheat_angry.wav,1.533,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_when_angry.wav,1.638,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_which_angry.wav,1.425,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_whip_angry.wav,1.288,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_white_angry.wav,1.477,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_wife_angry.wav,1.704,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_wire_angry.wav,1.596,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_witch_angry.wav,1.513,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_yearn_angry.wav,1.628,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_yes_angry.wav,1.547,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_young_angry.wav,1.537,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_angry\OAF_youth_angry.wav,1.583,angry,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_back_disgust.wav,2.26,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_bar_disgust.wav,2.273,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_base_disgust.wav,2.497,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_bath_disgust.wav,2.314,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_bean_disgust.wav,2.346,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_beg_disgust.wav,2.39,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_bite_disgust.wav,2.396,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_boat_disgust.wav,2.205,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_bone_disgust.wav,2.215,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_book_disgust.wav,2.134,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_bought_disgust.wav,2.4,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_burn_disgust.wav,2.205,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_cab_disgust.wav,2.438,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_calm_disgust.wav,2.45,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_came_disgust.wav,2.295,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_cause_disgust.wav,2.518,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_chain_disgust.wav,2.35,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_chair_disgust.wav,2.273,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_chalk_disgust.wav,2.339,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_chat_disgust.wav,2.443,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_check_disgust.wav,2.434,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_cheek_disgust.wav,2.559,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_chief_disgust.wav,2.476,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_choice_disgust.wav,2.417,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_cool_disgust.wav,2.421,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_dab_disgust.wav,2.409,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_date_disgust.wav,2.536,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_dead_disgust.wav,2.41,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_death_disgust.wav,2.401,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_deep_disgust.wav,2.403,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_dime_disgust.wav,2.474,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_dip_disgust.wav,2.22,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_ditch_disgust.wav,2.694,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_dodge_disgust.wav,2.409,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_dog_disgust.wav,2.346,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_doll_disgust.wav,2.323,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_door_disgust.wav,2.422,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_fail_disgust.wav,2.509,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_fall_disgust.wav,2.393,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_far_disgust.wav,2.534,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_fat_disgust.wav,2.346,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_fit_disgust.wav,2.103,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_five_disgust.wav,2.45,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_food_disgust.wav,2.192,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_gap_disgust.wav,2.365,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_gas_disgust.wav,2.407,disgust,TESS
D:/Data/TESS/TESS Toronto emotional speech set data/OAF_disgust\OAF_gaze_disgust.wav,2.634,disgust,TESS
